Type;Split;Model;Train score (R²);Test score (R²);Finished at timestamp (s)
ElasticNet;49;ElasticNet(alpha=0.17817972601159218, l1_ratio=1.0);0.4132786675483696;0.33541737395831506;39237.93398785591
ElasticNet;50;ElasticNet(alpha=0.23503435640505121, l1_ratio=0.5356774903591162);0.3889154902042523;0.3812078516153624;40037.79768538475
LGBMRegressor;1;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10902360191916745, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.571356993709789;0.23220012855468197;40957.17649650574
LGBMRegressor;2;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.13045235905392638, min_child_samples=76,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.4077232128019763;0.26799102343863823;41904.04718089104
LGBMRegressor;3;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11555069932348276, min_child_samples=19,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4515617932682142;0.12790844999066053;42808.769312143326
LGBMRegressor;4;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.15146063110307112, min_child_samples=88,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3919896944986466;0.2819673204264601;43725.17065048218
LGBMRegressor;5;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.13966372114550396, min_child_samples=65,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.38589767254872265;0.3587946411772429;44650.84880065918
LGBMRegressor;6;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11335116292027354, min_child_samples=71,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3959620027224834;0.0851346268600206;45607.106394290924
LGBMRegressor;7;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10431920575303683, min_child_samples=68,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.366379103911758;0.3122686771965322;46588.47975611687
LGBMRegressor;8;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11095925789345625, min_child_samples=78,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.36084122712723943;0.35145590882365085;47558.24625873566
LGBMRegressor;9;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.14972439814952868, min_child_samples=81,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3801926742403109;0.37759542614807196;48500.78382754326
LGBMRegressor;10;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.09617414814339734, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.47083748369040046;0.22467683827544804;49413.52174568176
LGBMRegressor;11;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1202529303140332, min_child_samples=17,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4622978650680497;-0.07292886721519443;50305.757202386856
LGBMRegressor;12;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.15156605674996773, min_child_samples=40,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4469696418882051;0.21077222926551897;51263.33098101616
LGBMRegressor;13;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.13876154243563998, min_child_samples=16,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.465183491430779;0.24255341153993948;52146.06487083435
LGBMRegressor;14;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1725427860384043, min_child_samples=65,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4326590209384099;0.1932411946485446;53105.937002658844
LGBMRegressor;15;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.21034220872347623, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.5728678924156101;0.19907271857758468;54027.79097557068
LGBMRegressor;16;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.16356654466580528, min_child_samples=19,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.5017522881960296;0.09845062329544907;54933.24644589424
LGBMRegressor;17;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.12489769914572137, min_child_samples=76,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.37997434028595034;0.29329525557117475;55868.2290699482
LGBMRegressor;18;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.15478243660101676, min_child_samples=31,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.44434952304497544;0.2846485099835756;56779.182094573975
LGBMRegressor;19;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.12205921262518103, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.5026056160398296;0.2122747317176037;57720.39053893089
LGBMRegressor;20;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.0928333325449526, min_child_samples=73,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.38109010222314177;0.19138653082696155;58698.050860881805
LGBMRegressor;21;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.08737131990723264, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.544549646058301;0.225113363534175;59633.179216861725
LGBMRegressor;22;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11445279783068502, min_child_samples=76,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.38309119778956047;0.2672610950016221;60568.454459905624
LGBMRegressor;23;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.08111701991219647, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.5365107992881463;0.1768100863891714;61513.16443347931
LGBMRegressor;24;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.14814262334369388, min_child_samples=74,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3939672066981038;0.27178869495411284;62465.254720687866
LGBMRegressor;25;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.14304300049427102, min_child_samples=71,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4062515452154296;0.10998194039105802;63396.52021074295
LGBMRegressor;26;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11959773662022842, min_child_samples=73,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.37454177830468516;0.31005608683371544;64331.69109392166
LGBMRegressor;27;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.09417918536945039, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.5344452228037616;0.2507230042079075;65259.29692864418
LGBMRegressor;28;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.15982909426325598, min_child_samples=75,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.38825434563671357;0.3512323288138578;66200.96320819855
LGBMRegressor;29;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.14045053835243038, min_child_samples=7,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4913800492400463;0.16860059197104338;67110.5942940712
LGBMRegressor;30;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.08354997275689736, min_child_samples=72,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.3616800065481367;0.2621407514351223;68047.91452002525
LGBMRegressor;31;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1310262536622884, min_child_samples=83,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.40902623034825836;0.08825651820676972;68953.27448296547
LGBMRegressor;32;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10664126993785222, min_child_samples=96,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.39228420334398684;0.19619772879741249;69914.04938650131
LGBMRegressor;33;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1118639487503592, min_child_samples=79,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.374544851715533;0.3143345129289946;70853.14538359642
LGBMRegressor;34;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.12121893133363759, min_child_samples=83,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3837664457815275;0.21705253083579445;71820.10621261597
LGBMRegressor;35;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10647022235657909, min_child_samples=76,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.37378905978413846;0.2891913702341403;72702.44385385513
LGBMRegressor;36;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11664927626380482, min_child_samples=82,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3626912383911973;0.34092630174146277;73656.94541239738
LGBMRegressor;37;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1442563172820494, min_child_samples=64,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.411024008487628;0.25021732417218945;74577.30454516411
LGBMRegressor;38;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.13248391876822396, min_child_samples=31,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.43496964317502984;0.2771073038748062;75524.61201047897
LGBMRegressor;39;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11115780556965951, min_child_samples=81,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.39781369895439955;0.2560610282849132;76459.37746071815
LGBMRegressor;40;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.1270800018120272, min_child_samples=68,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3869553107632224;0.2953746869558137;77388.05402708054
LGBMRegressor;41;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11605343783665997, min_child_samples=36,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4496970399907575;-0.07411232745929963;78304.10215210915
LGBMRegressor;42;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10259647122745091, min_child_samples=31,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.44446049736391346;0.27921812919507893;79284.73381209373
LGBMRegressor;43;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.09767384390301141, min_child_samples=78,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.35084348064928117;0.26263995085465175;80226.21489930153
LGBMRegressor;44;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.0989972283437245, min_child_samples=1,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.5502653460305406;0.2545355882845005;81176.92364382744
LGBMRegressor;45;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.11465216199731268, min_child_samples=35,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.41478082302756125;0.22725778124275808;82132.41666507721
LGBMRegressor;46;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10500775217681692, min_child_samples=76,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=256)";0.3895017830806764;0.25327213474283927;83092.71711468697
LGBMRegressor;47;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10549626833306475, min_child_samples=74,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3862099937088562;0.13407921639805498;84028.29408788681
LGBMRegressor;48;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.13457201118295847, min_child_samples=29,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.4508247806565887;0.1778523754588005;84963.6400744915
LGBMRegressor;49;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.10389194997991397, min_child_samples=78,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.365268958581754;0.2780825179311516;85962.90521097183
LGBMRegressor;50;"LGBMRegressor(colsample_bytree=0.01, importance_type='gain',
              learning_rate=0.08318676559700844, min_child_samples=75,
              min_child_weight=0.0001, n_estimators=256, n_jobs=1,
              num_leaves=2)";0.3242237368835824;0.3251408042477143;86889.53509283066
ExtraTreesRegressor;1;"ExtraTreesRegressor(max_features=0.2843695723799096, min_samples_split=5,
                    n_estimators=256, random_state=0)";0.9704163567658901;0.34313487657630826;88373.10768604279
ExtraTreesRegressor;2;"ExtraTreesRegressor(max_features=0.5563468954292498, min_samples_leaf=6,
                    n_estimators=256, random_state=0)";0.6917560556547138;0.4217828297571856;89854.16987037659
ExtraTreesRegressor;3;"ExtraTreesRegressor(max_features=0.36862016785822627, min_samples_split=14,
                    n_estimators=256, random_state=0)";0.8184723460906467;0.3066306493079458;91301.3197183609
ExtraTreesRegressor;4;"ExtraTreesRegressor(max_features=0.3165588059427236, min_samples_split=7,
                    n_estimators=256, random_state=0)";0.9341491647991654;0.3571303720945914;92779.35978579521
