Type;Split;Model;Train score (R²);Test score (R²);Finished at timestamp (s)
ElasticNet;1;ElasticNet(alpha=0.1930248160855201, l1_ratio=1.0);0.39066552598995263;0.34150911371109594;792.362033367157
ElasticNet;2;ElasticNet(alpha=0.14332784423473163, l1_ratio=0.9702466515983209);0.4245366136036426;0.3321387303817025;1560.5094430446625
ElasticNet;3;ElasticNet(alpha=0.18274773915108847, l1_ratio=1.0);0.43344800732756084;0.2688325814537058;2293.520791053772
ElasticNet;4;ElasticNet(alpha=0.47667743450988187, l1_ratio=0.001);0.43093875017299343;0.2949140097259513;3075.9902563095093
ElasticNet;5;ElasticNet(alpha=0.16427971585398174, l1_ratio=1.0);0.43186964595283783;0.3167803502368961;3862.9764227867126
ElasticNet;6;ElasticNet(alpha=0.1276331018423393, l1_ratio=0.8105352111640788);0.4330008226836508;0.331966998097739;4622.125200033188
ElasticNet;7;ElasticNet(alpha=0.1469639432866323, l1_ratio=1.0);0.4691818916401098;0.12905395293499722;5387.378970861435
ElasticNet;8;ElasticNet(alpha=0.24010687938807923, l1_ratio=1.0);0.39989041561323413;0.2702447999222073;6122.462416887283
ElasticNet;9;ElasticNet(alpha=0.22051057828785475, l1_ratio=0.8107758068029514);0.36668118225882995;0.38493723707202065;6861.523647069931
ElasticNet;10;ElasticNet(alpha=0.1191274477070906, l1_ratio=1.0);0.45662109890321356;0.2038157999904633;7627.611617088318
ElasticNet;11;ElasticNet(alpha=0.16079413677009097, l1_ratio=1.0);0.4125876768132003;0.3763111997483608;8372.569675922394
ElasticNet;12;ElasticNet(alpha=0.14856179399163114, l1_ratio=1.0);0.42192919267723783;0.32948007626291387;9172.720090389252
ElasticNet;13;ElasticNet(alpha=0.1693648766085753, l1_ratio=0.894346250547755);0.403492459687285;0.3887947797891145;9913.72266793251
ElasticNet;14;ElasticNet(alpha=0.19135178288247714, l1_ratio=0.7090883453112959);0.4399216657557121;0.21869460241011685;10661.713778495789
ElasticNet;15;ElasticNet(alpha=0.2036844912270447, l1_ratio=1.0);0.4007336117034137;0.30726503574770914;11457.009568929672
ElasticNet;16;ElasticNet(alpha=0.1595021341860207, l1_ratio=1.0);0.4164628922508887;0.3702951765891481;12234.057079553604
ElasticNet;17;ElasticNet(alpha=0.1703397806066855, l1_ratio=1.0);0.3725697704241592;0.4809847533616759;12965.42437696457
