,dmq_cope_2,dmq_cope_4,dmq_cope_1,geschlecht_kod_male,upps_ur_5,upps_ss_2,dmq_cope_5,upps_pe_5,upps_ur_2,upps_ss_4,dmq_cope_3,upps_ss_3,ffmq_ob3,ffmq_ob2,erwerbstaetig_sub,ffmq_aa3,ffmq_nr7,ffmq_ds1,ffmq_ds4,upps_pm_1,ffmq_nj4,ffmq_nj1,ffmq_ob4,ffmq_nr2,ffmq_nj3,ffmq_ob1,upps_pe_1,upps_ss_5,ffmq_ds3,ffmq_nj2,upps_pm_5,ffmq_nr5,ffmq_nr4,upps_ur_3,upps_pm_4,ffmq_nr3,ffmq_aa4,ffmq_nr6,ffmq_nr1,ffmq_ds2,upps_pm_2,upps_ur_4,ffmq_aa1,ffmq_aa2,upps_pm_3,upps_ss_1,upps_pe_4,upps_ur_1,upps_pe_3,upps_pe_2,Data
29,10013.49386882782,5909.043109893799,4074.7343851327896,3172.325291633606,1162.4651107788086,1712.7287466526031,142.79800415039062,787.9666948318481,1152.0994129180908,681.8859872817993,40.893798828125,537.518102645874,561.2326126098633,192.98549842834473,549.6486722826958,438.1039705276489,271.92540168762207,321.895601272583,813.0203075408936,205.05595588684082,82.49449920654297,307.3925795555115,963.3835048675537,109.94459915161133,188.70789909362793,0.0,231.6401023864746,122.05099868774414,406.13670539855957,0.0,0.0,0.0,367.3327383995056,87.41687330720015,88.51409912109375,38.87210965156555,55.924899101257324,104.08919906616211,90.11050033569336,84.90760040283203,45.69369888305664,18.796600341796875,18.60540008544922,15.716400146484375,176.95509910583496,10.890270233154297,0.0,0.0,68.32209968566895,0.0,original
30,10965.133398532867,6057.422402381897,7163.977353096008,3780.0035037994385,1556.801908493042,2411.6789442300797,2857.6551151275635,1915.0697846412659,86.40062999725342,1382.9228110909462,38.09000015258789,417.9718451499939,648.6191024780273,570.9052605032921,595.5850258767605,261.80284106731415,162.28638887405396,314.5157299041748,610.6981377601624,547.3868999481201,813.2597774267197,642.1014556884766,157.86579990386963,109.38540935516357,322.69932556152344,631.5383939743042,502.2555241584778,314.34455847740173,223.87079846858978,183.55474638193846,1271.9705181121826,251.61343097686768,472.04634642601013,410.0136170387268,392.4870014190674,194.5112009048462,217.80381727218628,174.28596925735474,242.7509549856186,144.23471927642822,234.00220108032227,481.8729019165039,796.514764290303,53.51798892021179,12.9375,131.77051973342896,0.0,235.44019842147827,0.7859479784965515,144.61968898773193,original
31,7994.965576410294,2817.14732170105,8377.705505371094,2690.560290336609,2671.543617248535,2112.545709967613,2429.755500793457,1596.510097503662,2218.6856441497803,1317.8631467819214,411.79609298706055,613.8056049346924,372.060998916626,521.5247440338135,626.1383728981018,457.9164683818817,616.9699182510376,1313.3378982543945,530.7115001678467,596.5900974273682,410.1435546875,350.84737610816956,829.5568904876709,233.59815454483032,20.844160079956055,291.9090938568115,328.4077968597412,31.140861928462982,337.6490306854248,213.574209690094,106.12260055541992,161.5321979522705,114.03755903244019,539.5997018814087,118.48650360107422,35.441200256347656,150.42467239499092,0.0,108.25522923842072,231.5313262939453,31.601200103759766,564.982292175293,155.47470092773438,493.6561760902405,0.0,32.63222026824951,78.10459899902344,27.703399658203125,109.32100296020508,0.0,original
32,11080.910591125488,4244.370460510254,2312.7392139434814,3304.8311920166016,1777.7518768310547,1825.4569931030273,4850.566986083984,725.591890335083,0.0,485.3216953277588,2436.3130645751953,807.5690765380859,205.3207015991211,183.0146999359131,96.46630096435547,641.3225860595703,0.0,0.0,0.0,0.0,699.5558032989502,20.553600311279297,0.0,0.0,0.0,16.066299438476562,97.22139739990234,207.82899475097656,0.0,0.0,80.29619979858398,0.0,0.0,506.26160049438477,0.0,0.0,0.0,35.837100982666016,0.0,0.0,0.0,0.0,0.0,0.0,48.88090133666992,0.0,28.243600845336914,0.0,0.0,0.0,original
33,7573.402971688658,3345.721374720335,3849.01262543723,1957.8109859311953,1221.7096581347287,906.0104780206457,4242.297004977241,554.6569521930069,3331.4147683102638,827.1969142220914,3828.487758857198,1665.074480265379,1420.228210172616,1103.4149380652234,2318.9421952413395,1574.6824511513114,694.5463476357982,2900.4218160174787,1998.668219530955,1864.4292766135186,2240.834019411821,457.5213085990399,548.3535745404661,1024.0177387706935,2367.905169956386,5153.330240406096,624.5449356548488,1515.8102056216449,1523.2732695955783,1800.5406943559647,1346.0313477478921,622.4434299990535,3266.814898488112,612.1760158613324,1164.3817859627306,908.553657349199,590.151302902028,730.4957334985957,2099.7085509654135,1496.8121202951297,693.6329931272194,1107.193860962987,625.2914658207446,1195.2000490631908,1273.4961790964007,502.0958778318018,1071.8641277849674,841.8647031914443,725.0815156036988,1001.862894302234,original
34,9229.363571166992,5109.971599578857,5942.020820617676,3322.850690841675,1388.2330055236816,2125.801486968994,4866.52428817749,176.0093002319336,1500.2559204101562,77.61059951782227,2358.6594982147217,99.92409896850586,303.7381992340088,201.89290046691895,0.0,76.53359985351562,0.0,114.22560119628906,0.0,0.0,0.0,0.0,230.191801071167,566.990406036377,90.70960235595703,112.54330062866211,0.0,27.332599639892578,0.0,0.0,162.38010025024414,0.0,18.889699935913086,0.0,102.07150268554688,0.0,0.0,68.5438003540039,0.0,0.0,124.78230285644531,0.0,0.0,89.2660026550293,0.0,0.0,0.0,133.19140243530273,0.0,20.36280059814453,original
35,7549.882965087891,4678.839002609253,7261.4241371154785,2836.620710372925,2632.0688915252686,781.1531066894531,974.0342903137207,1414.1767177581787,1024.1257057189941,1917.3906059265137,1144.4122009277344,1147.8992919921875,1871.8547115325928,675.9619045257568,1093.215898513794,356.24909591674805,27.77090072631836,1057.7406978607178,112.24120330810547,325.00440216064453,642.5285911560059,364.0041027069092,810.2323932647705,1996.88480758667,2048.7326984405518,3529.238109588623,529.1326923370361,726.1887073516846,220.5136013031006,367.54880714416504,209.1841049194336,312.19480895996094,340.3362007141113,574.4307880401611,1296.907808303833,479.85269355773926,0.0,425.6956043243408,783.8964977264404,793.17600440979,83.2078971862793,209.64909553527832,475.87078857421875,506.66209411621094,195.93370056152344,178.17230033874512,161.1132984161377,406.57140350341797,466.6643981933594,288.21729850769043,original
36,12969.661915779114,9253.309785842896,4147.905662536621,2256.951910018921,2508.6612911224365,1363.7646237015724,489.8797950744629,631.4702911376953,2188.249408721924,512.7437028884888,933.6775074005127,690.1528949737549,580.3179950714111,258.3393020629883,488.9329731464386,233.1203966140747,308.8784942626953,335.50850105285645,825.3447971343994,125.49980163574219,117.12149047851562,72.27569961547852,247.0816993713379,89.04869937896729,0.0,706.8800954818726,307.62569999694824,109.83629786968231,334.6492214202881,168.5138397216797,0.0,344.15850257873535,47.998199462890625,250.57200241088867,84.60500144958496,133.55110263824463,221.15489768981934,247.19520378112793,169.7475996017456,0.0,99.17709922790527,48.70859909057617,80.85540008544922,17.762699127197266,725.0869083404541,219.20359992980957,0.0,22.864299774169922,0.0,150.10149955749512,original
37,9265.532787442207,9485.763256072998,4673.462715148926,3435.409320831299,2416.980625152588,1303.8809971809387,325.3755912780762,2320.1783084869385,51.09108018875122,1047.6984119415283,174.14470291137695,420.5615873336792,213.86549949645996,0.0,385.5626587867737,351.057297706604,306.0353946685791,86.71610260009766,195.99920082092285,303.1235046386719,189.23614156246185,246.62900161743164,216.50180053710938,153.0761013031006,282.65880393981934,143.69109344482422,0.0,154.70791745185852,151.32068920135498,38.442298889160156,0.0,193.44740104675293,54.13240146636963,100.79659843444824,0.0,44.96870040893555,70.78830146789551,0.0,91.16776967048645,0.0,124.36400032043457,35.53450012207031,118.60889911651611,0.0,16.697399139404297,0.0,0.0,0.0,30.09980010986328,0.0,original
38,12752.552887916565,7013.603484153748,1408.3372841682285,2548.3850955963135,2954.534507751465,1227.5730333328247,157.7222023010254,237.6281976699829,841.7672929763794,203.50772285461426,1624.9328174591064,695.7849998474121,299.6809968948364,383.29699897766113,1295.532237008214,236.9161434173584,206.8889980316162,287.91699600219727,151.0059986114502,766.1033945083618,734.807026386261,21.3193302154541,84.9247989654541,403.5009444952011,744.4047994613647,212.0258026123047,324.335298538208,121.5356055945158,689.4151065349579,121.36388206481934,22.120100021362305,108.04699897766113,154.7637391090393,88.93370056152344,0.0,55.931859254837036,47.132598876953125,16.529399871826172,66.40419960021973,27.35409927368164,0.0,234.81960201263428,72.71249961853027,74.39359855651855,329.6262950897217,72.66259956359863,460.34239768981934,0.0,34.889801025390625,0.0,original
