,MAE,MSE,R2,Data,Dummy
0,2.6654838609906175,12.838012615719698,0.41839968941542394,original,1.0
1,2.9106912616726635,17.866510262804496,0.34086268071510284,original,1.0
2,2.871957202329329,15.40349158924289,0.2748431573307616,original,1.0
3,2.6844242490752426,14.16478295286434,0.3246471589516332,original,1.0
4,2.729333067869596,13.809365976260624,0.3784576410794619,original,1.0
5,2.1613269049132477,9.396758789628855,0.255849630597596,original,1.0
6,2.918722977659911,15.938897339490758,0.26709289162015115,original,1.0
7,2.766108158844779,14.017937209022138,0.3117497381111016,original,1.0
8,2.5269992482183894,10.85226777869784,0.23521182117577732,original,1.0
9,2.8271816296742185,16.089003845890204,0.2862781316146372,original,1.0
10,2.9276307726663235,15.20519286761559,0.29113319964496087,original,1.0
11,2.967880703172582,19.488027345752855,0.25248452859362136,original,1.0
12,2.8074828786320074,14.284113356010087,0.27528597889345074,original,1.0
13,2.7466049071384213,12.249617257447943,0.21835567156844604,original,1.0
14,2.8725458164812143,16.006449402153898,0.23922273226896407,original,1.0
15,2.5743503754490042,11.456029286095196,0.24676481277030216,original,1.0
16,3.0249755334352635,17.446234380308685,0.3193997573376862,original,1.0
17,2.5360757001647305,14.804107709384683,0.288301690324806,original,1.0
18,2.8921286658936878,17.225452166980677,0.15749832888344295,original,1.0
19,2.7014494282567085,14.119808151635041,0.24822258921434792,original,1.0
20,2.7653063249326526,11.60675103006645,0.20833013688833368,original,1.0
21,2.3733905254892704,8.649619943350674,0.25266159692491963,original,1.0
22,2.768733457465988,13.675684645923994,0.271527630177009,original,1.0
23,2.8791063147801257,18.065385644317274,0.264845783917811,original,1.0
24,2.7424622934421654,13.3790735591446,0.28889182970785143,original,1.0
25,2.893041181561218,17.719651939311746,0.24629298429129087,original,1.0
26,2.7109388008542283,11.95481501262462,0.14154094079200497,original,1.0
27,2.8066478600005964,14.633487359948546,0.23434590318596593,original,1.0
28,2.901713297498036,14.932954634208993,0.22183665272490904,original,1.0
29,2.9370405777939514,17.336542111380613,0.29479237738245767,original,1.0
30,2.9137033065032885,13.507622204704008,-0.04377697450015883,original,1.0
31,2.524581089501214,10.84314460166631,0.2550534088827453,original,1.0
32,2.6726451395507667,11.191152293938828,0.13607853280179483,original,1.0
33,2.6021248078000436,11.673921330826497,0.27127260787869256,original,1.0
34,2.5806031790441044,11.957246934746706,0.3845702099043853,original,1.0
35,2.813974423758371,17.759719317871376,0.3601738179467101,original,1.0
36,2.866115797982191,13.402113832078301,0.24074226517265862,original,1.0
37,2.507918924205748,11.346339950788897,0.3017465075577923,original,1.0
38,3.398146998577445,22.795209477879403,0.23344208151166712,original,1.0
39,2.9542504996838166,17.356566394743158,0.3212773773778307,original,1.0
40,3.0757846413809413,17.872010315251003,0.331064736994247,original,1.0
41,3.0123623161454396,19.057799132086842,0.25804433046586484,original,1.0
42,3.119904382578158,19.068624879499694,0.3068071978195863,original,1.0
43,3.0263720891135915,20.701155658696578,0.28880337855547267,original,1.0
44,3.0255139433880136,19.57732307988589,0.3428024653351095,original,1.0
45,2.8848161585215473,17.849518886210433,0.301705727098052,original,1.0
46,2.627658638395238,15.156689933658294,0.2985449527405626,original,1.0
47,2.7328077320041135,13.873804308500103,0.3308379205955646,original,1.0
48,2.769828445169383,12.882830992879866,0.14488430644117278,original,1.0
49,3.2539092317854896,16.869998721434026,0.25838009796970984,original,1.0
