,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,6.349934734931049,6.3479243265478065,6.34488347653138,6.3405406948402465,6.336542232286463,6.3354209085366815,6.33514005570556,6.33413834759135,6.33541034939725,6.336685991013459,6.342203099011583,6.352308111660785,6.396342617876533,6.441212150576203,6.47787549094636,6.486757558045927,6.486757558045927,6.495321625961931,6.495321625961931,6.495321625961931
1,5.830060678210677,5.83286563059163,5.833236011544011,5.829568130591631,5.824431487734488,5.822946630591631,5.825924106782107,5.825875582972584,5.8246922496392495,5.816964797258297,5.815505773448773,5.818019773448774,5.816695392496392,5.822636844877344,5.830850702020203,5.834958702020201,5.841943225829725,5.841943225829725,5.841943225829725,5.841943225829725
2,6.087857523809525,6.088595714285715,6.093382333333334,6.090905380952381,6.084218047619048,6.078681809523809,6.076671666666667,6.077199666666668,6.080155000000001,6.080810047619048,6.082832285714287,6.084573047619046,6.083369333333334,6.085618571428572,6.089448857142858,6.095106857142859,6.120729476190477,6.140979761904763,6.168632571428572,6.194201428571429
3,6.3203156666666676,6.322075333333334,6.314250666666667,6.3043000000000005,6.298637333333334,6.294727666666668,6.290025333333335,6.2907546666666665,6.294937000000001,6.292808333333335,6.2993076666666665,6.3048583333333355,6.319387000000002,6.344693666666666,6.370732000000001,6.378783333333335,6.379715333333334,6.379974000000001,6.379974000000001,6.379974000000001
4,6.179988460223849,6.177617707138854,6.175854747999694,6.17433965803349,6.170848953240444,6.168510996509315,6.166516793610765,6.155077188965833,6.155077188965833,6.151540831958001,6.1480157266666815,6.150600915786839,6.1649120401697015,6.226818733518173,6.268632081414921,6.268632081414921,6.268632081414921,6.268632081414921,6.268632081414921,6.268632081414921
5,5.6708333333333325,5.6543222222222225,5.649166666666665,5.637866666666665,5.634222222222221,5.629833333333335,5.636,5.629933333333334,5.625777777777779,5.627600000000001,5.632277777777778,5.6449555555555575,5.657866666666666,5.672422222222221,5.71178888888889,5.742777777777778,5.791688888888888,5.7933111111111115,5.7972,5.81731111111111
6,5.6498043276168275,5.65026313930514,5.648111295260294,5.641511218836719,5.634345758019759,5.626558258796758,5.622076499112,5.6204611724941715,5.618291898878898,5.61868386063936,5.619171613386612,5.618458391108891,5.620344926850927,5.6254448265068255,5.625661935175934,5.632901681818182,5.636459388777888,5.63955952980353,5.641046759129758,5.642629738150738
7,6.154943550621754,6.156659170589547,6.152208093545878,6.149698630786414,6.149698630786414,6.150019273107057,6.148582206791731,6.155068257828488,6.156929809856706,6.156109520001634,6.161969170871141,6.173293411536346,6.207699492184671,6.276516481273908,6.292257973693687,6.292257973693687,6.292257973693687,6.292257973693687,6.292257973693687,6.292257973693687
8,5.895546948356807,5.897183098591548,5.893558685446009,5.902521126760562,5.898730046948356,5.895307511737088,5.898204225352113,5.898882629107982,5.90950704225352,5.905619718309858,5.914265258215962,5.913133802816902,5.916105633802817,5.924354460093897,5.956751173708921,6.015514084507043,6.085835680751175,6.088652582159625,6.088652582159625,6.088652582159625
9,6.097277327845981,6.093336166040944,6.093336166040944,6.093336166040944,6.093336166040944,6.093336166040944,6.093336166040944,6.093336166040944,6.092676908822856,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949,6.094139362768949
