,0,1,2,3
0,6.247979925753237,6.247979925753237,6.247979925753237,6.247979925753237
1,5.890751059377834,5.890751059377834,5.928381479393081,5.928381479393081
2,5.993768534995475,5.980303610694268,5.998673542267619,
3,6.227520298688819,6.1641274384383395,6.1641274384383395,6.1641274384383395
4,6.2196405854869745,6.199630216378596,6.199630216378596,6.199630216378596
5,5.4527819948915575,5.4527819948915575,5.52780532808088,5.52780532808088
6,5.510014609209693,5.510014609209693,5.550203711977254,5.550203711977254
7,6.344467913103749,6.311169949685551,6.311169949685551,
8,6.132821126205211,6.132821126205211,6.132821126205211,6.132821126205211
9,6.047929398973386,6.047929398973386,6.047929398973386,6.047929398973386
10,5.779285856893877,5.762152394205897,5.762152394205897,5.762152394205897
11,5.817990146160343,5.817990146160343,5.817990146160343,5.817990146160343
12,6.001713042473646,5.9722817455835555,5.9722817455835555,5.9722817455835555
13,6.262834469071172,6.262834469071172,6.262834469071172,6.262834469071172
14,6.38674042132318,6.38674042132318,6.38674042132318,6.38674042132318
15,5.848502441414113,5.848502441414113,5.848502441414113,
16,5.793524105292809,5.788969410663557,5.970432984861159,5.933111989418112
17,5.661364055261731,5.693140390778958,5.849815294842922,5.838697853467572
18,5.723002768760999,5.756384025362686,6.041821801915803,
19,6.00250971572081,6.00250971572081,6.04107849069365,6.04107849069365
20,6.3911361150715775,6.3911361150715775,6.3911361150715775,6.3911361150715775
21,5.910243439667414,5.910243439667414,5.988648587982563,5.988648587982563
22,5.879188026136204,5.879188026136204,6.325079197679599,6.325079197679599
23,6.068847522823636,6.068847522823636,6.068847522823636,6.068847522823636
24,6.111368366634187,6.1158509278666,6.143000593455558,
25,5.8194974807429345,5.802098757495969,5.802098757495969,5.802098757495969
26,5.8888727406044135,5.8888727406044135,5.8888727406044135,5.8888727406044135
27,5.840354857407445,5.7980400448516995,6.1055472001108475,6.1055472001108475
28,6.10472670491237,6.087354617365196,6.087354617365196,6.087354617365196
29,6.531800141313673,6.531800141313673,6.531800141313673,6.531800141313673
30,6.4708046199977005,6.4708046199977005,6.4708046199977005,6.4708046199977005
31,6.166228608678164,6.1708128962951925,6.1708128962951925,6.1708128962951925
32,6.087753037433995,6.087753037433995,6.122937347766624,
33,6.141291456966225,6.018022540774172,6.230065058613809,6.242496053798473
34,6.010845644854349,6.010845644854349,6.010845644854349,6.010845644854349
35,5.821408773744921,5.821408773744921,5.860949003043065,5.902526820486065
36,6.447785719639661,6.447785719639661,6.447785719639661,6.447785719639661
37,5.847824715390076,5.847824715390076,5.847824715390076,5.847824715390076
38,5.424303645546283,5.424303645546283,5.870841915926778,5.870841915926778
39,5.748140642705684,5.785395242192656,5.978484345280642,5.978484345280642
40,6.1256763506441585,6.1256763506441585,6.1256763506441585,6.1256763506441585
41,5.88354017935294,5.88354017935294,6.000131676204296,6.000131676204296
42,5.829273765126279,5.8018573134832865,5.8018573134832865,5.8018573134832865
43,5.603071375116864,5.603071375116864,5.603071375116864,5.603071375116864
44,5.903861548536766,5.903861548536766,5.903861548536766,5.903861548536766
45,6.053006877427069,6.053006877427069,6.17492538397091,6.17492538397091
46,5.846994423507568,5.846994423507568,5.846994423507568,5.846994423507568
47,6.136308440527264,6.132782440821184,6.132782440821184,6.132782440821184
48,6.599269841373138,6.617138909267767,6.705498173363969,6.705498173363969
49,6.2687640804959575,6.2562051816208175,6.34636229760323,6.34636229760323
