,dmq_cope_2,dmq_cope_4,geschlecht_kod_male,dmq_cope_1,upps_ur_5,dmq_cope_3,upps_ur_2,upps_ss_2,upps_pe_5,ffmq_nj4,upps_ss_4,ffmq_ob4,upps_pm_2,ffmq_ob3,upps_pm_1,upps_ss_3,upps_pm_5,ffmq_aa2,ffmq_ob1,upps_pm_4,upps_pm_3,ffmq_ds1,upps_pe_1,upps_pe_2,upps_pe_3,upps_pe_4,upps_ss_5,dmq_cope_5,upps_ss_1,upps_ur_3,upps_ur_4,ffmq_aa1,ffmq_ds2,ffmq_nr1,ffmq_nr2,ffmq_aa3,ffmq_nj1,ffmq_aa4,ffmq_nr3,ffmq_ob2,ffmq_nr4,ffmq_nr5,ffmq_nj2,ffmq_ds3,ffmq_nr6,ffmq_nj3,ffmq_ds4,ffmq_nr7,upps_ur_1,erwerbstaetig_sub,Data
8,0.8700311811414936,0.9677274405889172,0.7010856760763364,0.6129453799340164,0.42352566530201796,0.20058207264341196,0.3003741283147014,0.16738265398111662,0.16052873406846427,0.07457471574327913,0.1419658965864026,-0.0,0.20717428684914638,-0.04562259418446627,0.10454869505143848,0.0,0.0,-0.0,-0.1227150415535672,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.044887647869737535,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.028550209585559698,0.0,-0.08807525728498754,-0.0,-0.0,-0.0,0.004241494265721804,original
9,0.9629695784611301,0.7151141013840965,0.5990540546429592,0.3517789675568625,0.41389792106746315,0.45613339129592767,0.2526541407337758,0.30224161713136416,0.24066237737172683,0.2755623839773774,0.12138369459177951,-0.12749177829247166,0.1673767751775616,-0.1699280086704505,0.04230258386302227,0.14279896964329275,0.16338063208300818,-0.0,-0.04323747205071502,0.0,0.0,-0.06625327910941409,-0.056789814873508024,-0.0,-0.0,0.0,0.0,0.2241022182664127,-0.09748839698995913,-0.07661509961516946,0.026946029354149883,-0.0,0.0,0.15253565563235802,-0.046158037671044365,-0.0,-0.0,0.1312383959464791,-0.034696847291080725,-0.01716199096400037,-0.0,-0.0,0.0,-0.0,-0.0,-0.2005207894050459,0.0,0.0,-0.17562649488816867,0.0,original
10,0.7114922873443424,0.5877244374834826,0.780895782853152,0.6002940549102181,0.47945521321074025,0.3587581867820159,0.15683959171833722,0.07032657821572705,0.1715001874895361,0.35180874285320934,0.08135061335887454,-0.14400125698659025,0.10085122414289403,-0.04590668169176206,0.04864592592069151,0.013494372407205723,0.09320823272051029,-0.09288992281309645,-0.24144817534862212,-0.0,-0.1079828417681487,-0.0,-0.0,-0.0,-0.0,0.0,0.00563638768944101,0.13912982105452903,-0.010848225653955832,0.0,0.0,-0.0,-0.0400897506864755,0.07005369835795779,-0.0,-0.10886331355501244,-0.0,0.0,-0.0036432052522388,-0.01359474570522142,0.06941369696252284,-0.0,0.0,-0.0,-0.0,-0.26528595970292956,-0.0,-0.0,-0.0,0.040185667648361914,original
11,0.6610941219941726,0.6766494901747162,1.0007940500594972,0.5143031542556505,0.3376731275722884,0.35619991687418984,0.06215371397464043,0.4377274453202192,0.27731881024243343,0.0,0.10911872219351096,-0.3257374729453896,0.06445555231725528,-0.060769633933073997,0.003951512751593457,0.032141529827901416,0.060523344800516514,-0.02215346749330821,-0.0,-0.0,-0.0,-0.0,-0.019054701426075488,-0.01946973944866875,0.0,0.0,0.0,0.0,-0.0,0.0,0.09149911214440212,0.0,-0.007816382226727503,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,original
12,0.9635619968865689,0.6642818038309736,0.6542609950712371,0.4523487761737882,0.5110545877211671,0.4558427115208582,0.1473844556852907,0.07479295050067959,0.16962251952246843,0.13771911681569995,0.13091612893129634,-0.13746603484777706,0.0,-0.0,0.027116669382497696,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,original
13,0.9326572397637037,0.8257943463090454,0.9297065371394372,0.7036429087326111,0.38294459894202587,0.15494553267417,0.2964465110213585,0.2914728000383798,0.3266621425694964,0.15871109543028147,0.09091222281946133,-0.16200771328007568,0.11045970201806532,-0.15632014279941694,0.04321646362163236,0.03556240527824736,0.12629091054134498,-0.039937211834351914,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.019565568721578493,0.0,0.0,-0.0,-0.0,0.028741436183209963,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.09538872837268304,-0.0,original
14,0.9442187506658627,0.8041313444956004,0.6642488286402094,0.4248116587840133,0.34998921554190465,0.329559946282754,0.2795153922868871,0.23032743831310587,0.2746421436609363,0.2163351961906389,0.22197590195052402,-0.09625975528303433,0.10177568294793644,-0.28099170891144204,0.14940840856901527,0.042575402352536026,0.11062876119942731,-0.0,-0.06239642729873203,0.10796139133446192,0.0,0.0,0.0,-0.16451036263490154,-0.0,0.0,0.0,0.0,-0.043411173526545686,0.041392530719121266,0.0,0.0,-0.0,0.0,0.0,-0.07613373624853918,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.007953172727902727,-0.0,0.0,0.0,-0.18580784761965521,-0.0,original
15,0.9048709013743998,0.8004658889974414,0.7229587503348855,0.602861949445372,0.4415998657988475,0.33313012854575935,0.42909387685548916,0.20134685102330743,0.20891235121727025,0.3196174548102823,0.15576892031339157,-0.0,0.05648755214738344,-0.09057015794529188,0.1003083562938958,0.20649084653763303,0.014793881765592069,-0.0,-0.0,0.0,0.003986008142752305,-0.0,-0.0,-0.13539779924194478,-0.0,0.0,0.14615406534262054,0.15731416593489797,-0.09954614862724168,0.0,0.0,0.0,-0.06327493917333149,0.01294651958697678,-0.0647945969457787,-0.03632260815739143,-0.0,0.17510598397642393,-0.0017908959216380738,-0.10125241695014851,0.1407229336685695,0.0,0.03284079381042003,-0.0,-0.0,-0.2582269893005916,-0.0,-0.0,-0.22450669885427516,0.002563809956661571,original
16,0.9042854841936876,0.6565970887093144,0.8643278311480264,0.6527016623679646,0.34772693686954165,0.2161185369755719,0.11195220033455162,0.3554115324522501,0.0,0.00204337589177935,0.0008868832046704916,-0.2213919363262447,0.1443582509468141,-0.03321008978104238,0.04188348417334663,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.04860986888585262,0.0,0.0,0.09484203321509424,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.019712607936098858,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,original
17,0.7321945417310475,0.6101396381013666,0.6146929140985975,0.3718306197158429,0.3924004972045938,0.2528188775916862,0.26468028094959084,0.29815076974397353,0.20674508881118261,0.20302709132605457,0.17599349795056352,-0.173614523278334,0.13196269664821736,-0.12056563979091098,0.16793806784488158,0.1498262421003108,0.0,-0.10128979189088544,-0.05410963830255341,0.0828163808344616,0.0,-0.0,-0.13806444820902947,-0.0432094933182426,0.0,0.0,0.030548384688067254,0.1312946154909759,-0.08294932148252236,0.0,0.0,0.033752834913108924,-0.04357032736037068,0.06738920119142719,-0.0545567194856274,-0.11536963218370523,0.0,0.0,-0.07290912415219884,-0.17642463564058083,0.02949658112856759,0.00596200326529864,0.05271980978336037,0.0,-0.0,-0.07715025554365063,-0.03851526085235648,0.0,-0.21516445273874565,0.0,original
